BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\OneDrive - SINTEF\bolsigplus122019-win\Lisbon-N2-O2-02June2026.txt
--------------------------------------------------
O2                                                              
C:\Users\robertm\OneDrive - SINTEF\bolsigplus122019-win\Lisbon-N2-O2-02June2026.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       0.000    
A10    Ion/neutral mass ratio                     1.000    
A11    Coulomb collision model                    1.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           100.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-04
A20    Maximum # of iterations                    2000.    
A21    Mole fraction N2                          0.7900    
A22    Mole fraction O2                          0.2100    
          R#      A1         A16         A17    
           1   1.000       0.000      -1.000    
           2   1.028       3.000       1.906    
           3   1.057       3.000       1.906    
           4   1.087       3.000       1.906    
           5   1.117       3.000       1.906    
           6   1.148       3.000       1.906    
           7   1.181       3.000       1.906    
           8   1.214       3.000       1.906    
           9   1.248       3.000       1.906    
          10   1.283       3.000       1.906    
          11   1.319       3.000       2.222    
          12   1.356       3.000       2.222    
          13   1.394       3.000       2.222    
          14   1.433       3.000       2.222    
          15   1.473       3.000       2.222    
          16   1.515       3.000       2.222    
          17   1.557       3.000       2.222    
          18   1.601       3.000       2.222    
          19   1.646       3.000       2.222    
          20   1.692       3.000       2.222    
          21   1.740       3.000       2.222    
          22   1.789       3.000       2.222    
          23   1.839       3.000       2.222    
          24   1.890       3.000       2.222    
          25   1.943       3.000       2.222    
          26   1.998       3.000       2.222    
          27   2.054       3.000       2.222    
          28   2.112       3.000       2.222    
          29   2.171       3.000       2.222    
          30   2.232       3.000       2.222    
          31   2.295       3.000       2.222    
          32   2.359       3.000       2.222    
          33   2.425       3.000       2.222    
          34   2.493       3.000       2.222    
          35   2.563       3.000       2.222    
          36   2.635       3.000       2.222    
          37   2.709       3.000       2.222    
          38   2.785       3.000       2.222    
          39   2.864       3.000       2.222    
          40   2.944       3.000       2.222    
          41   3.027       3.000       2.222    
          42   3.112       3.000       2.222    
          43   3.199       3.000       2.591    
          44   3.289       3.000       2.591    
          45   3.381       3.000       2.591    
          46   3.476       3.000       2.591    
          47   3.574       3.000       2.591    
          48   3.674       3.000       2.591    
          49   3.777       3.000       2.591    
          50   3.883       3.000       2.591    
          51   3.992       3.000       2.591    
          52   4.104       3.000       2.591    
          53   4.219       3.000       2.591    
          54   4.338       3.000       2.591    
          55   4.460       3.000       2.591    
          56   4.585       3.000       2.591    
          57   4.714       3.000       2.591    
          58   4.846       3.000       2.591    
          59   4.982       3.000       2.591    
          60   5.122       3.000       2.591    
          61   5.266       3.000       2.591    
          62   5.413       3.000       2.591    
          63   5.565       3.000       2.591    
          64   5.722       3.000       2.591    
          65   5.882       3.000       2.591    
          66   6.047       3.000       2.591    
          67   6.217       3.000       2.591    
          68   6.392       3.000       2.591    
          69   6.571       3.000       2.591    
          70   6.756       3.000       2.591    
          71   6.945       3.000       2.591    
          72   7.140       3.000       2.591    
          73   7.341       3.000       2.591    
          74   7.547       3.000       3.020    
          75   7.759       3.000       3.020    
          76   7.976       3.000       3.020    
          77   8.200       3.000       3.020    
          78   8.430       3.000       3.020    
          79   8.667       3.000       3.020    
          80   8.910       3.000       3.020    
          81   9.161       3.000       3.020    
          82   9.418       3.000       3.020    
          83   9.682       3.000       3.020    
          84   9.954       3.000       3.020    
          85   10.23       3.000       3.020    
          86   10.52       3.000       3.020    
          87   10.82       3.000       3.520    
          88   11.12       3.000       3.520    
          89   11.43       3.000       3.520    
          90   11.75       3.000       3.520    
          91   12.08       3.000       3.520    
          92   12.42       3.000       4.101    
          93   12.77       3.000       4.101    
          94   13.13       3.000       5.567    
          95   13.50       3.000       6.485    
          96   13.88       3.000       7.554    
          97   14.27       3.000       7.554    
          98   14.67       3.000       7.554    
          99   15.08       3.000       8.798    
         100   15.50       3.000       8.798    
         101   15.94       3.000       8.798    
         102   16.38       3.000       10.25    
         103   16.84       3.000       10.25    
         104   17.32       3.000       10.25    
         105   17.80       3.000       10.25    
         106   18.30       3.000       10.25    
         107   18.82       3.000       10.25    
         108   19.35       3.000       11.93    
         109   19.89       3.000       11.93    
         110   20.45       3.000       11.93    
         111   21.02       3.000       11.93    
         112   21.61       3.000       11.93    
         113   22.22       3.000       11.93    
         114   22.84       3.000       13.90    
         115   23.48       3.000       13.90    
         116   24.14       3.000       13.90    
         117   24.82       3.000       13.90    
         118   25.52       3.000       13.90    
         119   26.23       3.000       13.90    
         120   26.97       3.000       13.90    
         121   27.73       3.000       13.90    
         122   28.50       3.000       16.18    
         123   29.30       3.000       16.18    
         124   30.13       3.000       16.18    
         125   30.97       3.000       16.18    
         126   31.84       3.000       16.18    
         127   32.74       3.000       16.18    
         128   33.66       3.000       16.18    
         129   34.60       3.000       16.18    
         130   35.57       3.000       16.18    
         131   36.57       3.000       18.85    
         132   37.60       3.000       18.85    
         133   38.65       3.000       18.85    
         134   39.74       3.000       18.85    
         135   40.85       3.000       18.85    
         136   42.00       3.000       18.85    
         137   43.18       3.000       18.85    
         138   44.39       3.000       18.85    
         139   45.64       3.000       21.95    
         140   46.92       3.000       21.95    
         141   48.24       3.000       21.95    
         142   49.59       3.000       21.95    
         143   50.98       3.000       21.95    
         144   52.41       3.000       21.95    
         145   53.88       3.000       21.95    
         146   55.40       3.000       21.95    
         147   56.95       3.000       25.56    
         148   58.55       3.000       25.56    
         149   60.19       3.000       25.56    
         150   61.88       3.000       25.56    
         151   63.62       3.000       25.56    
         152   65.41       3.000       25.56    
         153   67.24       3.000       25.56    
         154   69.13       3.000       29.76    
         155   71.07       3.000       29.76    
         156   73.07       3.000       29.76    
         157   75.12       3.000       29.76    
         158   77.23       3.000       29.76    
         159   79.40       3.000       29.76    
         160   81.63       3.000       29.76    
         161   83.92       3.000       29.76    
         162   86.27       3.000       34.65    
         163   88.69       3.000       34.65    
         164   91.18       3.000       34.65    
         165   93.74       3.000       34.65    
         166   96.38       3.000       34.65    
         167   99.08       3.000       34.65    
         168   101.9       3.000       34.65    
         169   104.7       3.000       34.65    
         170   107.7       3.000       40.35    
         171   110.7       3.000       40.35    
         172   113.8       3.000       40.35    
         173   117.0       3.000       40.35    
         174   120.3       3.000       40.35    
         175   123.6       3.000       40.35    
         176   127.1       3.000       40.35    
         177   130.7       3.000       40.35    
         178   134.4       3.000       46.98    
         179   138.1       3.000       46.98    
         180   142.0       3.000       46.98    
         181   146.0       3.000       46.98    
         182   150.1       3.000       46.98    
         183   154.3       3.000       46.98    
         184   158.6       3.000       46.98    
         185   163.1       3.000       54.70    
         186   167.7       3.000       54.70    
