# Zheleznyak (1982) absorption curve and two-stream fit
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# lambda1 = 2.625223e-02 m^-1 Pa^-1,  lambda2 = 1.500128e+00 m^-1 Pa^-1
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   K_zheleznyak   : Zheleznyak (1982) absorption function  [m^-1 Pa^-1]
#   K_twostream    : two-stream fit, integral-normalised to K_zheleznyak  [m^-1 Pa^-1]
#   group_1_kappa2.689e-02: group 1: kappa=2.6888e-02 m^-1 Pa^-1,  g=1.5808e-02  [m^-1 Pa^-1]
#   group_2_kappa3.061e-02: group 2: kappa=3.0612e-02 m^-1 Pa^-1,  g=5.4157e-02  [m^-1 Pa^-1]
#   group_3_kappa4.482e-02: group 3: kappa=4.4820e-02 m^-1 Pa^-1,  g=1.4351e-01  [m^-1 Pa^-1]
#   group_4_kappa1.002e-01: group 4: kappa=1.0021e-01 m^-1 Pa^-1,  g=2.4996e-01  [m^-1 Pa^-1]
#   group_5_kappa3.157e-01: group 5: kappa=3.1572e-01 m^-1 Pa^-1,  g=3.0500e-01  [m^-1 Pa^-1]
#   group_6_kappa1.007e+00: group 6: kappa=1.0071e+00 m^-1 Pa^-1,  g=2.3157e-01  [m^-1 Pa^-1]
#
#                      chi              K_zheleznyak               K_twostream    group_1_kappa2.689e-02    group_2_kappa3.061e-02    group_3_kappa4.482e-02    group_4_kappa1.002e-01    group_5_kappa3.157e-01    group_6_kappa1.007e+00
            6.66610000e-03            1.46640188e+00            1.46160644e+00            1.71919184e-03            6.70552368e-03            2.60126906e-02            1.01269701e-01            3.88738739e-01            9.37160595e-01
            6.69264479e-03            1.46637222e+00            1.46157782e+00            1.71919062e-03            6.70551823e-03            2.60126597e-02            1.01269432e-01            3.88735481e-01            9.37135543e-01
            6.71929529e-03            1.46634244e+00            1.46154909e+00            1.71918938e-03            6.70551276e-03            2.60126286e-02            1.01269161e-01            3.88732210e-01            9.37110391e-01
            6.74605191e-03            1.46631255e+00            1.46152025e+00            1.71918815e-03            6.70550727e-03            2.60125974e-02            1.01268890e-01            3.88728927e-01            9.37085139e-01
            6.77291507e-03            1.46628253e+00            1.46149129e+00            1.71918691e-03            6.70550175e-03            2.60125661e-02            1.01268617e-01            3.88725630e-01            9.37059788e-01
            6.79988521e-03            1.46625240e+00            1.46146222e+00            1.71918566e-03            6.70549622e-03            2.60125347e-02            1.01268344e-01            3.88722320e-01            9.37034336e-01
            6.82696274e-03            1.46622215e+00            1.46143303e+00            1.71918441e-03            6.70549066e-03            2.60125031e-02            1.01268069e-01            3.88718997e-01            9.37008784e-01
            6.85414810e-03            1.46619178e+00            1.46140372e+00            1.71918315e-03            6.70548508e-03            2.60124714e-02            1.01267793e-01            3.88715660e-01            9.36983131e-01
            6.88144171e-03            1.46616129e+00            1.46137430e+00            1.71918189e-03            6.70547948e-03            2.60124396e-02            1.01267516e-01            3.88712311e-01            9.36957376e-01
            6.90884400e-03            1.46613068e+00            1.46134477e+00            1.71918062e-03            6.70547385e-03            2.60124076e-02            1.01267238e-01            3.88708948e-01            9.36931520e-01
