# Table C2 from Dakin et al., ELECTRA No. 32
# "Breakdown voltages of air in a uniform field"
# Temperature 20 deg C. Values from the Paschen curve (Fig. C1 & C2).
# Source: T.W. Dakin et al., ELECTRA No. 32, pp. 61-82.
#
# Columns: p*d (bar.mm)   Breakdown voltage (kV, crest value)
#
2.6e-3    0.520
3.0e-3    0.440
4.0e-3    0.380
5.0e-3    0.350
6.0e-3    0.340
8.0e-3    0.340
1.0e-2    0.360
2.0e-2    0.430
3.0e-2    0.500
4.0e-2    0.580
5.0e-2    0.650
6.0e-2    0.700
8.0e-2    0.820
1.0e-1    0.980
5.0e-1    2.7
1.0e+0    4.5
1.5e+0    6.0
2.0e+0    7.5
3.0e+0    11.2
4.0e+0    14.2
5.0e+0    16.8
6.0e+0    19.9
8.0e+0    26.0
1.0e+1    31.7
1.5e+1    45.5
2.0e+1    59.0
3.0e+1    86.0
4.0e+1    112
5.0e+1    138
6.0e+1    164
8.0e+1    215
1.0e+2    266
1.1e+2    292
1.2e+2    318
1.3e+2    342
1.4e+2    366
1.5e+2    390
1.6e+2    414
1.7e+2    438
1.8e+2    462
1.9e+2    486
2.0e+2    510
2.2e+2    560
2.4e+2    610
2.6e+2    660
2.8e+2    705
3.0e+2    750
3.2e+2    795
3.4e+2    840
3.6e+2    885
3.8e+2    935
4.0e+2    980
