# IEC 60052:2002 -- disruptive-discharge voltages of standard sphere gaps
# Sphere diameter D = 25 cm, one sphere earthed, dry air at 20 C and 1013 mbar.
# Columns: p*d (bar.mm, = gap spacing in mm at 1 bar)   disruptive-discharge voltage (kV, peak)
#
  10.0   31.7
  12.0   37.4
  14.0   42.9
  15.0   45.5
  16.0   48.1
  20.0   59.0
  22.0   64.5
  24.0   70.0
  26.0   75.5
  28.0   81.0
  30.0   86.0
  35.0   99.0
  40.0  112.0
  45.0  125.0
  50.0  137.0
  55.0  149.0
  60.0  161.0
  65.0  173.0
  70.0  184.0
  75.0  195.0
  80.0  206.0
  90.0  226.0
 100.0  244.0
 110.0  261.0
 120.0  275.0
