# IEC 60052:2002 -- disruptive-discharge voltages of standard sphere gaps
# Sphere diameter D = 10 cm, one sphere earthed, dry air at 20 C and 1013 mbar.
# Columns: p*d (bar.mm, = gap spacing in mm at 1 bar)   disruptive-discharge voltage (kV, peak)
#
   5.0   16.8
   6.0   19.9
   7.0   23.0
   8.0   26.0
   9.0   28.9
  10.0   31.7
  12.0   37.4
  14.0   42.9
  15.0   45.5
  16.0   48.1
  18.0   53.5
  20.0   59.0
  22.0   64.5
  24.0   69.5
  26.0   74.5
  28.0   79.5
  30.0   84.0
  35.0   95.0
  40.0  105.0
  45.0  115.0
  50.0  123.0
