# Pointwise relative error of two-stream fit to Zheleznyak (1982)
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   rel_error_pct  : |K_twostream - K_zheleznyak| / K_zheleznyak * 100  [%]
#
#                    chi           rel_error_pct
          6.66610000e-03          3.27020633e-01
          6.69264479e-03          3.26956166e-01
          6.71929529e-03          3.26891446e-01
          6.74605191e-03          3.26826471e-01
          6.77291507e-03          3.26761241e-01
          6.79988521e-03          3.26695754e-01
          6.82696274e-03          3.26630010e-01
          6.85414810e-03          3.26564008e-01
          6.88144171e-03          3.26497746e-01
          6.90884400e-03          3.26431224e-01
          6.93635542e-03          3.26364441e-01
          6.96397638e-03          3.26297395e-01
          6.99170733e-03          3.26230086e-01
          7.01954871e-03          3.26162513e-01
          7.04750096e-03          3.26094674e-01
          7.07556451e-03          3.26026569e-01
          7.10373981e-03          3.25958196e-01
          7.13202731e-03          3.25889554e-01
          7.16042746e-03          3.25820643e-01
          7.18894069e-03          3.25751462e-01
          7.21756746e-03          3.25682009e-01
          7.24630823e-03          3.25612283e-01
          7.27516344e-03          3.25542283e-01
          7.30413356e-03          3.25472008e-01
          7.33321904e-03          3.25401458e-01
          7.36242034e-03          3.25330631e-01
          7.39173792e-03          3.25259525e-01
          7.42117224e-03          3.25188141e-01
          7.45072378e-03          3.25116476e-01
          7.48039298e-03          3.25044530e-01
          7.51018034e-03          3.24972302e-01
          7.54008631e-03          3.24899790e-01
          7.57011136e-03          3.24826994e-01
          7.60025598e-03          3.24753912e-01
          7.63052063e-03          3.24680543e-01
          7.66090581e-03          3.24606887e-01
          7.69141197e-03          3.24532941e-01
          7.72203961e-03          3.24458706e-01
          7.75278922e-03          3.24384179e-01
          7.78366127e-03          3.24309360e-01
          7.81465626e-03          3.24234247e-01
          7.84577466e-03          3.24158840e-01
          7.87701699e-03          3.24083137e-01
          7.90838372e-03          3.24007138e-01
          7.93987536e-03          3.23930840e-01
          7.97149240e-03          3.23854243e-01
          8.00323534e-03          3.23777346e-01
          8.03510468e-03          3.23700148e-01
          8.06710093e-03          3.23622646e-01
          8.09922458e-03          3.23544841e-01
          8.13147616e-03          3.23466731e-01
          8.16385617e-03          3.23388315e-01
          8.19636511e-03          3.23309592e-01
          8.22900350e-03          3.23230560e-01
          8.26177187e-03          3.23151218e-01
          8.29467072e-03          3.23071565e-01
          8.32770057e-03          3.22991601e-01
          8.36086195e-03          3.22911323e-01
          8.39415538e-03          3.22830730e-01
          8.42758139e-03          3.22749822e-01
          8.46114050e-03          3.22668597e-01
          8.49483325e-03          3.22587053e-01
          8.52866016e-03          3.22505191e-01
          8.56262178e-03          3.22423008e-01
          8.59671863e-03          3.22340502e-01
          8.63095125e-03          3.22257674e-01
          8.66532020e-03          3.22174522e-01
          8.69982600e-03          3.22091044e-01
          8.73446920e-03          3.22007239e-01
          8.76925036e-03          3.21923106e-01
          8.80417002e-03          3.21838644e-01
          8.83922873e-03          3.21753851e-01
          8.87442704e-03          3.21668726e-01
          8.90976552e-03          3.21583268e-01
          8.94524472e-03          3.21497476e-01
          8.98086519e-03          3.21411348e-01
          9.01662751e-03          3.21324883e-01
          9.05253224e-03          3.21238080e-01
          9.08857994e-03          3.21150937e-01
          9.12477119e-03          3.21063453e-01
          9.16110655e-03          3.20975627e-01
          9.19758660e-03          3.20887457e-01
          9.23421192e-03          3.20798943e-01
          9.27098308e-03          3.20710082e-01
          9.30790067e-03          3.20620874e-01
          9.34496526e-03          3.20531317e-01
          9.38217745e-03          3.20441410e-01
          9.41953782e-03          3.20351152e-01
          9.45704696e-03          3.20260540e-01
          9.49470546e-03          3.20169575e-01
          9.53251392e-03          3.20078254e-01
          9.57047294e-03          3.19986575e-01
          9.60858311e-03          3.19894539e-01
          9.64684504e-03          3.19802143e-01
          9.68525933e-03          3.19709386e-01
          9.72382659e-03          3.19616266e-01
          9.76254742e-03          3.19522783e-01
          9.80142244e-03          3.19428934e-01
          9.84045227e-03          3.19334719e-01
          9.87963751e-03          3.19240136e-01
          9.91897880e-03          3.19145183e-01
          9.95847674e-03          3.19049860e-01
          9.99813196e-03          3.18954164e-01
          1.00379451e-02          3.18858095e-01
          1.00779168e-02          3.18761650e-01
          1.01180476e-02          3.18664829e-01
          1.01583383e-02          3.18567630e-01
          1.01987893e-02          3.18470051e-01
          1.02394015e-02          3.18372092e-01
          1.02801754e-02          3.18273750e-01
          1.03211116e-02          3.18175025e-01
          1.03622109e-02          3.18075914e-01
          1.04034738e-02          3.17976417e-01
          1.04449010e-02          3.17876531e-01
          1.04864932e-02          3.17776256e-01
          1.05282511e-02          3.17675589e-01
          1.05701752e-02          3.17574530e-01
          1.06122662e-02          3.17473077e-01
          1.06545249e-02          3.17371227e-01
          1.06969518e-02          3.17268981e-01
          1.07395477e-02          3.17166336e-01
          1.07823131e-02          3.17063291e-01
          1.08252489e-02          3.16959844e-01
          1.08683557e-02          3.16855994e-01
          1.09116341e-02          3.16751739e-01
