# Convolution of a Gaussian source with Zheleznyak and two-stream kernels
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# Source: Gaussian centred at 0.3*x_max, sigma = 0.04*x_max
# x_max = 1.523680e+02 Pa m  (= 4 / lambda1)
# All convolution values normalised by max(conv_zheleznyak)
# 
# Columns:
#   x                  : reduced coordinate p_O2*r  [Pa m]
#   source             : normalised Gaussian source (max = 1)  [dimensionless]
#   conv_zheleznyak    : photoionisation rate, Zheleznyak kernel, normalised  [dimensionless]
#   conv_twostream     : photoionisation rate, two-stream kernel, normalised  [dimensionless]
#
#                      x                  source         conv_zheleznyak          conv_twostream
          0.00000000e+00          3.72394689e-25          1.53331184e-02          1.52604978e-02
          2.54370618e-01          6.95239073e-25          1.55248456e-02          1.54535495e-02
          5.08741235e-01          1.29345659e-24          1.57195032e-02          1.56496351e-02
          7.63111853e-01          2.39804065e-24          1.59171479e-02          1.58488136e-02
          1.01748247e+00          4.43045383e-24          1.61178374e-02          1.60511455e-02
          1.27185309e+00          8.15693280e-24          1.63216314e-02          1.62566924e-02
          1.52622371e+00          1.49655454e-23          1.65285905e-02          1.64655177e-02
          1.78059432e+00          2.73618340e-23          1.67387772e-02          1.66776859e-02
          2.03496494e+00          4.98522604e-23          1.69522555e-02          1.68932633e-02
          2.28933556e+00          9.05131126e-23          1.71690908e-02          1.71123175e-02
          2.54370618e+00          1.63766527e-22          1.73893505e-02          1.73349179e-02
          2.79807679e+00          2.95274383e-22          1.76131034e-02          1.75611355e-02
          3.05244741e+00          5.30534215e-22          1.78404203e-02          1.77910429e-02
          3.30681803e+00          9.49922156e-22          1.80713738e-02          1.80247145e-02
          3.56118865e+00          1.69492167e-21          1.83060382e-02          1.82622264e-02
          3.81555927e+00          3.01368766e-21          1.85444900e-02          1.85036567e-02
          4.06992988e+00          5.33990882e-21          1.87868076e-02          1.87490852e-02
          4.32430050e+00          9.42880029e-21          1.90330716e-02          1.89985937e-02
          4.57867112e+00          1.65907503e-20          1.92833644e-02          1.92522661e-02
          4.83304174e+00          2.90912653e-20          1.95377711e-02          1.95101882e-02
          5.08741235e+00          5.08330523e-20          1.97963789e-02          1.97724479e-02
          5.34178297e+00          8.85149767e-20          2.00592772e-02          2.00391356e-02
          5.59615359e+00          1.53594026e-19          2.03265582e-02          2.03103435e-02
